Institution_Name,Latitude,Longitude
Wayne State University,42.3591,-83.0665
Andrews University,41.9584,-86.3688
Pensole Lewis College of Business and Design,42.3658,-83.0734
Saginaw Chippewa Tribal College,43.605,-84.7241
