university,type_1,type_2,region,Latitude,Longitude,publishing_program,press,student_pop_size_2022_average,demogs_1_2022,demogs_2_2022,demogs_3_2022,student_pop_size_2012_average,demogs_1_2012,demogs_2_2012,demogs_3_2012,year,revenue
Reed College,Liberal Arts,,West,45.4805,-122.6305,1,0,14370,White,Hispanic/Latino,Two or More Races,13604,White,Race/Ethnicity Unknown,Hispanic/Latino,2012,1026015086
Princeton University,R1,,Mid-Atlantic,40.3431,-74.6551,1,1,65690,White,Asian,Nonresident Alien,60860,White,Asian,Nonresident Alien,2012,37572264000
Claremont McKenna College,Liberal Arts,,West,34.1019,-117.709,1,0,13216,White,Hispanic/Latino,Asian,12142,White,Race/Ethnicity Unknown,Nonresident Alien,2012,1455966000
"University of California, Merced",R2,HSI,West,37.3649,-120.4248,1,0,81684,Hispanic/Latino,Asian,White,52642,Hispanic/Latino,Asian,White,2012,105814000
University of Illinois at Urbana-Champaign,R1,,Midwest,40.102,-88.2272,1,1,418114,White,Asian,Nonresident Alien,353840,White,Nonresident Alien,Asian,2012,2602712104
North Carolina A&T State University,HBCU,R2,South,36.0735,-79.774,1,0,117676,Black or African American,Hispanic/Latino,Two or More Races,91196,Black or African American,White,Race/Ethnicity Unknown,2012,205421800
Oglala Lakota College,TCU,,Midwest,43.1896,-102.7459,1,0,11260,American Indian or Alaska Native,White,Two or More Races,15106,American Indian or Alaska Native,White,Hispanic/Latino,2012,109796970
University of New Mexico-Main Campus,R1,HSI,West,35.0845,-106.6198,1,1,173316,Hispanic/Latino,White,American Indian or Alaska Native,238874,Hispanic/Latino,White,American Indian or Alaska Native,2012,1713622700
Purdue University,R1,,Midwest,40.4237,-86.9212,1,1,108162,White,Nonresident Alien,Asian,97398,White,Asian,Nonresident Alien,2012,19911302000
University of Kansas,R1,,Midwest,38.9543,-95.2558,1,0,210556,White,Hispanic/Latino,Asian,214584,White,Nonresident Alien,Hispanic/Latino,2012,1323258410
Jackson State University,HBCU,R2,South,32.2968,-90.2078,1,0,54834,Black or African American,White,Nonresident Alien,73580,Black or African American,White,Two or More Races,2012,203547004
Middlebury College,Liberal Arts,,Northeast,44.007,-73.1765,1,0,26644,White,Nonresident Alien,Hispanic/Latino,23848,White,Nonresident Alien,Hispanic/Latino,2012,2105500000
"University of Maryland, College Park",R1,,Mid-Atlantic,38.9869,-76.9426,1,0,332104,White,Asian,Black or African American,297586,White,Asian,Black or African American,2012,2226769876
University of Mississippi,R1,,South,34.3659,-89.5383,1,0,183502,White,Black or African American,Hispanic/Latino,163714,White,Black or African American,Hispanic/Latino,2012,577597374
Northwestern University,R1,Private,Midwest,42.0559,-87.6753,1,1,141902,White,Asian,Nonresident Alien,135282,White,Asian,Nonresident Alien,2012,15835244000
Georgia Institute of Technology,R1,,South,33.7756,-84.3963,1,0,50888,White,Nonresident Alien,Hispanic/Latino,37668,White,Nonresident Alien,Race/Ethnicity Unknown,2012,115859158
Sitting Bull College,TCU,,Midwest,46.0896,-101.3555,0,0,2300,American Indian or Alaska Native,White,Hispanic/Latino,2652,American Indian or Alaska Native,White,Hispanic/Latino,2012,7288060
Colorado State University,R1,HSI,West,40.5734,-105.0865,1,0,46738,White,Hispanic/Latino,Two or More Races,54612,White,Hispanic/Latino,Race/Ethnicity Unknown,2012,110023566
Brown University,R1,,Northeast,41.8268,-71.4025,1,0,85488,White,Asian,Nonresident Alien,69870,White,Nonresident Alien,Asian,2012,6152326000
College of Menominee Nation,TCU,,Midwest,44.8772,-88.6107,0,0,2498,American Indian or Alaska Native,White,Hispanic/Latino,6442,American Indian or Alaska Native,White,Black or African American,2012,8244010
University of Oklahoma-Norman Campus,R1,,South,35.2059,-97.4458,1,1,229798,White,Hispanic/Latino,Two or More Races,226774,White,Hispanic/Latino,Black or African American,2012,1254522000
