university,type_1,type_2,region,Latitude,Longitude,publishing_program,press,student_pop_size_2022_average,demogs_1_2022,demogs_2_2022,demogs_3_2022,student_pop_size_2012_average,demogs_1_2012,demogs_2_2012,demogs_3_2012,year,revenue
University of Massachusetts Lowell,R2,,Northeast,42.6526,-71.3246,1,0,137456,White,Asian,Hispanic/Latino,132590,White,Asian,Hispanic/Latino,2013,464136000
University of North Alabama,R2,,South,34.8055,-87.6818,1,0,72532,White,Black or African American,Nonresident Alien,61060,White,Black or African American,Nonresident Alien,2013,204553160
University of North Carolina Asheville,Liberal Arts,Public,South,35.6164,-82.5665,1,0,27682,White,Hispanic/Latino,Black or African American,34320,White,Hispanic/Latino,Race/Ethnicity Unknown,2013,94518592
University of Texas Health Science Center at Houston,R1,,South,29.7092,-95.4018,1,0,24740,White,Asian,Hispanic/Latino,21334,White,Asian,Nonresident Alien,2013,702367778
University of Texas Medical Branch at Galveston,R1,,South,29.3114,-94.7782,1,0,16954,White,Hispanic/Latino,Asian,16104,White,Hispanic/Latino,Asian,2013,1169958236
University of Texas MD Anderson Cancer Center,R1,,South,29.7088,-95.3976,1,0,3478,Hispanic/Latino,Asian,White,2900,White,Asian,Hispanic/Latino,2013,2895842
New College of Florida,Liberal Arts,Public,South,27.3839,-82.557,1,0,6394,White,Hispanic/Latino,Two or More Races,7874,White,Hispanic/Latino,Two or More Races,2013,36128572
Mississippi State University,R1,,South,33.454,-88.794,1,0,193088,White,Black or African American,Hispanic/Latino,174012,White,Black or African American,Nonresident Alien,2013,548254296
University of West Georgia,R2,,South,33.5731,-85.0962,1,0,93814,White,Black or African American,Hispanic/Latino,102030,White,Black or African American,Hispanic/Latino,2013,221799662
University of Central Missouri,R2,,Midwest,38.7626,-93.736,1,0,82862,White,Nonresident Alien,Black or African American,99484,White,Race/Ethnicity Unknown,Black or African American,2013,345160970
Bowie State University,HBCU,R2,Mid-Atlantic,39.02,-76.7744,1,0,54636,Black or African American,Hispanic/Latino,Two or More Races,46270,Black or African American,White,Hispanic/Latino,2013,173200430
Eastern Michigan University,R2,,Midwest,42.2506,-83.6244,1,0,120076,White,Black or African American,Hispanic/Latino,200186,White,Black or African American,Race/Ethnicity Unknown,2013,428844922
Sam Houston State University,R2,HSI,South,30.713,-95.5508,1,0,188338,White,Hispanic/Latino,Black or African American,162680,White,Hispanic/Latino,Black or African American,2013,653033484
University of Northern Iowa,R2,,Midwest,42.5152,-92.4535,1,0,78662,White,Hispanic/Latino,Black or African American,109046,White,Nonresident Alien,Black or African American,2013,330038832
Florida Gulf Coast University,R3,,South,26.4631,-81.773,1,0,141714,White,Hispanic/Latino,Black or African American,121064,White,Hispanic/Latino,Black or African American,2013,274242822
Portland State University,R2,,West,45.511,-122.6846,1,1,174088,White,Hispanic/Latino,Asian,236362,White,Hispanic/Latino,Asian,2013,619820202
East Tennessee State University,R2,,South,36.3038,-82.3699,1,0,110016,White,Race/Ethnicity Unknown,Black or African American,128214,White,Black or African American,Two or More Races,2013,253584026
Indiana State University,R2,,Midwest,39.4693,-87.4081,1,0,73196,White,Black or African American,Hispanic/Latino,102544,White,Black or African American,Nonresident Alien,2013,267492948
"California State University, Chico",R2,HSI,West,39.7285,-121.8375,1,0,130066,White,Hispanic/Latino,Asian,151708,White,Hispanic/Latino,Race/Ethnicity Unknown,2013,397546202
University of Massachusetts Dartmouth,R2,,Northeast,41.6282,-71.0087,1,0,59548,White,Black or African American,Hispanic/Latino,78090,White,Black or African American,Hispanic/Latino,2013,245752000
Montana Technological University,R2,,West,46.0152,-112.5263,1,0,14452,White,Race/Ethnicity Unknown,Hispanic/Latino,18660,White,Nonresident Alien,Race/Ethnicity Unknown,2013,86651566
Western Carolina University,R2,,South,35.3095,-83.186,1,0,101824,White,Hispanic/Latino,Black or African American,82458,White,Black or African American,Hispanic/Latino,2013,271361430
Fayetteville State University,HBCU,R2,South,35.0742,-78.8945,1,0,57944,Black or African American,White,Hispanic/Latino,53638,Black or African American,White,Race/Ethnicity Unknown,2013,86521396
University of Wisconsin-Eau Claire,R2,,Midwest,44.7981,-91.4985,1,0,91546,White,Hispanic/Latino,Two or More Races,102630,White,Asian,Nonresident Alien,2013,270843658
University of North Georgia,R3,,South,34.5285,-83.9849,1,1,162110,White,Hispanic/Latino,Black or African American,,,,,2013,187922158
"California State University, San Marcos",R2,HSI,West,33.13,-117.16,1,0,138538,Hispanic/Latino,White,Asian,98272,White,Hispanic/Latino,Race/Ethnicity Unknown,2013,222143648
University of Michigan-Dearborn,R2,,Midwest,42.318,-83.232,1,0,66962,White,Asian,Nonresident Alien,76006,White,Black or African American,Asian,2013,273750000
Texas Woman’s University,R2,Women's College,South,33.2275,-97.1292,1,0,116956,White,Hispanic/Latino,Black or African American,109996,White,Black or African American,Hispanic/Latino,2013,536516006
Winston-Salem State University,HBCU,R2,South,36.0917,-80.2264,1,0,45128,Black or African American,White,Hispanic/Latino,59818,White,Hispanic/Latino,Black or African American,2013,88494254
University of Houston-Clear Lake,R3,HSI,South,29.5743,-95.1026,1,0,71618,Hispanic/Latino,White,Asian,59818,White,Hispanic/Latino,Black or African American,2013,234774066
"California State Polytechnic University, Pomona",R2,HSI,West,34.0572,-117.8211,1,0,253384,Hispanic/Latino,Asian,White,205312,Hispanic/Latino,Asian,White,2013,527820162
University of Texas Permian Basin,R3,HSI,South,31.8829,-102.3367,1,0,47566,Hispanic/Latino,White,Black or African American,32838,White,Hispanic/Latino,Black or African American,2013,138732768
"Minnesota State University, Mankato",R2,,Midwest,44.1465,-93.0011,1,0,124514,White,Nonresident Alien,Black or African American,134338,White,Nonresident Alien,Black or African American,2013,383440000
Tarleton State University,R2,,South,32.2153,-98.2179,1,0,122752,White,Hispanic/Latino,Black or African American,109472,White,Race/Ethnicity Unknown,Hispanic/Latino,2013,240175492
Trinity University,Private,Liberal Arts,South,29.461,-98.4835,1,1,24446,White,Hispanic/Latino,Asian,22264,White,Hispanic/Latino,Asian,2013,2167965582
North Dakota State University,R2,,Midwest,46.8914,-96.8008,1,1,95268,White,Nonresident Alien,Hispanic/Latino,108294,White,Nonresident Alien,Two or More Races,2013,304558338
Southeastern Louisiana University,R3,,South,30.5225,-90.4675,1,0,112254,White,Black or African American,Hispanic/Latino,135038,White,Black or African American,Hispanic/Latino,2013,222745060
The College of New Jersey,Liberal Arts,Public,Mid-Atlantic,40.2805,-74.7779,1,0,68788,White,Hispanic/Latino,Asian,64968,White,Hispanic/Latino,Asian,2013,467422000
Appalachian State University,R2,,South,36.2146,-81.6805,1,0,184894,White,Hispanic/Latino,Two or More Races,157832,White,Hispanic/Latino,Black or African American,2013,422716146
Grand Valley State University,R2,,Midwest,42.9632,-85.8882,1,0,190120,White,Hispanic/Latino,Black or African American,218226,White,Black or African American,Hispanic/Latino,2013,729278638
Texas Southern University,HBCU,R2,South,29.7216,-95.3568,1,0,70764,Black or African American,Hispanic/Latino,Two or More Races,78012,Black or African American,Hispanic/Latino,Nonresident Alien,2013,244416556
Northern Arizona University,R2,HSI,West,35.1894,-111.6526,1,0,239962,White,Hispanic/Latino,Two or More Races,225614,White,Hispanic/Latino,Two or More Races,2013,809358796
University of Nebraska at Kearney,R3,,Midwest,40.7006,-99.081,1,0,47612,White,Hispanic/Latino,Nonresident Alien,59356,White,Nonresident Alien,Hispanic/Latino,2013,153628340
University of Michigan,R1,Public,Midwest,42.278,-83.738,1,1,48232,White,Black or African American,Hispanic/Latino,72580,White,Black or African American,Race/Ethnicity Unknown,2014,270034000
Howard University,HBCU,Private,Mid-Atlantic,38.922,-77.019,1,0,103148,Black or African American,Race/Ethnicity Unknown,Hispanic/Latino,77112,Black or African American,Nonresident Alien,Asian,2014,1277520000
Stanford University,R1,,West,37.427,-122.17,1,1,116808,White,Asian,Nonresident Alien,112674,White,Nonresident Alien,Asian,2014,57532480000
Morehouse College,HBCU,,South,33.747,-84.415,1,0,24310,Black or African American,Two or More Races,Nonresident Alien,22592,Black or African American,Nonresident Alien,Race/Ethnicity Unknown,2014,278625882
"University of California, Berkeley",R1,HSI,West,37.871,-122.258,1,1,362634,Asian,White,Hispanic/Latino,289892,Asian,White,Hispanic/Latino,2014,1460314000
Swarthmore College,Liberal Arts,,Mid-Atlantic,39.906,-75.355,1,0,15360,White,Asian,Hispanic/Latino,14684,White,Asian,Hispanic/Latino,2014,3950682000
New Mexico State University,R2,HSI,West,32.278,-106.747,1,0,6154,Hispanic/Latino,American Indian or Alaska Native,White,8798,Hispanic/Latino,American Indian or Alaska Native,White,2014,1227874
Florida A&M University,HBCU,,South,30.426,-84.284,1,0,361220,White,Hispanic/Latino,Black or African American,342306,White,Hispanic/Latino,Black or African American,2014,2064707006
Massachusetts Institute of Technology,R1,,Northeast,42.36,-71.094,1,1,73026,Asian,White,Nonresident Alien,69400,White,Nonresident Alien,Asian,2014,35067528000
Spelman College,HBCU,Women's College,South,33.746,-84.41,1,0,29850,Black or African American,White,Race/Ethnicity Unknown,20404,Black or African American,Race/Ethnicity Unknown,Two or More Races,2014,725972810
Amherst College,Liberal Arts,,Northeast,42.3709,-72.517,1,1,18046,White,Hispanic/Latino,Asian,17244,White,Hispanic/Latino,Asian,2014,4969429722
Navajo Technical University,TCU,,West,35.8932,-108.5087,1,0,11374,American Indian or Alaska Native,Hispanic/Latino,White,15980,American Indian or Alaska Native,Hispanic/Latino,White,2014,24394220
University of Texas Rio Grande Valley,R2,HSI,South,26.3077,-98.1747,1,0,273244,Hispanic/Latino,White,Nonresident Alien,170324,Hispanic/Latino,White,Nonresident Alien,2014,346291640
University of Southern California,R1,Private,West,34.0224,-118.2851,1,1,312358,White,Nonresident Alien,Asian,262398,White,Asian,Nonresident Alien,2014,11074654000
Fisk University,HBCU,,South,36.1659,-86.8055,1,0,9666,Black or African American,Nonresident Alien,Race/Ethnicity Unknown,5594,Black or African American,Race/Ethnicity Unknown,Nonresident Alien,2014,190960294
Harvard University,R1,,Northeast,42.377,-71.1167,1,1,169864,White,Nonresident Alien,Asian,158000,White,Nonresident Alien,Asian,2014,1.32E+11
Haskell Indian Nations University,TCU,,Midwest,38.9387,-95.2353,1,0,6860,American Indian or Alaska Native,Nonresident Alien,Hispanic/Latino,7960,American Indian or Alaska Native,Nonresident Alien,Hispanic/Latino,2014,520906
University of Georgia,R1,,South,33.948,-83.3773,1,1,333574,White,Asian,Hispanic/Latino,284964,White,Asian,Black or African American,2014,1488636780
University of Central Florida,R1,HSI,South,28.6024,-81.2001,1,0,609102,White,Hispanic/Latino,Black or African American,530734,White,Hispanic/Latino,Black or African American,2014,1808988172
Xavier University of Louisiana,HBCU,,South,29.9654,-90.107,1,1,28116,Black or African American,Hispanic/Latino,Two or More Races,26424,Black or African American,Asian,White,2014,327302752
Yale University,R1,,Northeast,41.3163,-72.9223,1,1,95842,White,Asian,Nonresident Alien,77312,White,Nonresident Alien,Asian,2014,62385008000
Colgate University,Liberal Arts,,Northeast,42.817,-75.5385,1,0,29696,White,Hispanic/Latino,Nonresident Alien,27174,White,Hispanic/Latino,Nonresident Alien,2014,1843560746
San Diego State University,R2,HSI,West,32.7757,-117.0711,1,1,328090,Hispanic/Latino,White,Asian,270058,White,Hispanic/Latino,Asian,2014,1084672100
Cornell University,R1,,Northeast,42.4534,-76.4735,1,1,190784,White,Asian,Nonresident Alien,164528,White,Asian,Nonresident Alien,2014,10205649398
University of Arizona,R1,HSI,West,32.2319,-110.9501,1,1,408892,White,Hispanic/Latino,Nonresident Alien,334088,White,Hispanic/Latino,Nonresident Alien,2014,2063732000
Tuskegee University,HBCU,,South,32.43,-85.7076,1,0,21814,Black or African American,Race/Ethnicity Unknown,Hispanic/Latino,26788,Black or African American,Race/Ethnicity Unknown,Nonresident Alien,2014,306353764
University of Washington,R1,,West,47.6553,-122.3035,1,1,34288,White,Hispanic/Latino,Black or African American,45004,White,Race/Ethnicity Unknown,Black or African American,2014,105134090
Institute of American Indian and Alaska Native Culture and Arts Development,TCU,,West,35.5863,-106.0218,1,0,6194,American Indian or Alaska Native,Hispanic/Latino,White,3246,American Indian or Alaska Native,White,Hispanic/Latino,2014,17620742
University of North Carolina at Chapel Hill,R1,,South,35.9049,-79.0469,1,1,237692,White,Asian,Hispanic/Latino,217960,White,Black or African American,Asian,2014,4694501500
Baylor University,R1,Private,South,31.5493,-97.1143,1,1,167206,White,Hispanic/Latino,Asian,132064,White,Hispanic/Latino,Black or African American,2014,2433522000
Sisseton Wahpeton College,TCU,,Midwest,45.6655,-97.0172,0,0,1758,American Indian or Alaska Native,White,Two or More Races,1684,American Indian or Alaska Native,White,Black or African American,2014,7540686
Texas A&M International University,R2,HSI,South,27.573,-99.4388,1,0,71200,Hispanic/Latino,Nonresident Alien,White,65366,Hispanic/Latino,Nonresident Alien,White,2014,107917644
Davidson College,Liberal Arts,,South,35.5006,-80.8453,1,0,18166,White,Nonresident Alien,Hispanic/Latino,16900,White,Black or African American,Hispanic/Latino,2014,1347214910
University of Florida,R1,,South,29.6516,-82.3248,1,0,411416,White,Hispanic/Latino,Asian,380716,White,Hispanic/Latino,Black or African American,2014,3806922000
Hampton University,HBCU,,Mid-Atlantic,37.0175,-76.3371,1,0,28486,Black or African American,Race/Ethnicity Unknown,White,40022,Black or African American,White,Nonresident Alien,2014,565573156
University of Vermont,R2,,Northeast,44.4759,-73.1965,1,1,119452,White,Hispanic/Latino,Two or More Races,110838,White,Race/Ethnicity Unknown,Hispanic/Latino,2014,1146606000
Reed College,Liberal Arts,,West,45.4805,-122.6305,1,0,14370,White,Hispanic/Latino,Two or More Races,13604,White,Race/Ethnicity Unknown,Hispanic/Latino,2014,1136373340
Princeton University,R1,,Mid-Atlantic,40.3431,-74.6551,1,1,65690,White,Asian,Nonresident Alien,60860,White,Asian,Nonresident Alien,2014,46625130000
Claremont McKenna College,Liberal Arts,,West,34.1019,-117.709,1,0,13216,White,Hispanic/Latino,Asian,12142,White,Race/Ethnicity Unknown,Nonresident Alien,2014,1717708000
"University of California, Merced",R2,HSI,West,37.3649,-120.4248,1,0,81684,Hispanic/Latino,Asian,White,52642,Hispanic/Latino,Asian,White,2014,124456000
University of Illinois at Urbana-Champaign,R1,,Midwest,40.102,-88.2272,1,1,418114,White,Asian,Nonresident Alien,353840,White,Nonresident Alien,Asian,2014,2716046566
North Carolina A&T State University,HBCU,R2,South,36.0735,-79.774,1,0,117676,Black or African American,Hispanic/Latino,Two or More Races,91196,Black or African American,White,Race/Ethnicity Unknown,2014,258310490
Oglala Lakota College,TCU,,Midwest,43.1896,-102.7459,1,0,11260,American Indian or Alaska Native,White,Two or More Races,15106,American Indian or Alaska Native,White,Hispanic/Latino,2014,105168806
University of New Mexico-Main Campus,R1,HSI,West,35.0845,-106.6198,1,1,173316,Hispanic/Latino,White,American Indian or Alaska Native,238874,Hispanic/Latino,White,American Indian or Alaska Native,2014,2332330286
Purdue University,R1,,Midwest,40.4237,-86.9212,1,1,108162,White,Nonresident Alien,Asian,97398,White,Asian,Nonresident Alien,2014,22456424000
University of Kansas,R1,,Midwest,38.9543,-95.2558,1,0,210556,White,Hispanic/Latino,Asian,214584,White,Nonresident Alien,Hispanic/Latino,2014,1453312794
Jackson State University,HBCU,R2,South,32.2968,-90.2078,1,0,54834,Black or African American,White,Nonresident Alien,73580,Black or African American,White,Two or More Races,2014,166449110
Middlebury College,Liberal Arts,,Northeast,44.007,-73.1765,1,0,26644,White,Nonresident Alien,Hispanic/Latino,23848,White,Nonresident Alien,Hispanic/Latino,2014,2346814000
"University of Maryland, College Park",R1,,Mid-Atlantic,38.9869,-76.9426,1,0,332104,White,Asian,Black or African American,297586,White,Asian,Black or African American,2014,2293463624
University of Mississippi,R1,,South,34.3659,-89.5383,1,0,183502,White,Black or African American,Hispanic/Latino,163714,White,Black or African American,Hispanic/Latino,2014,1973061988
Northwestern University,R1,Private,Midwest,42.0559,-87.6753,1,1,141902,White,Asian,Nonresident Alien,135282,White,Asian,Nonresident Alien,2014,20995528000
Georgia Institute of Technology,R1,,South,33.7756,-84.3963,1,0,50888,White,Nonresident Alien,Hispanic/Latino,37668,White,Nonresident Alien,Race/Ethnicity Unknown,2014,140079172
Sitting Bull College,TCU,,Midwest,46.0896,-101.3555,0,0,2300,American Indian or Alaska Native,White,Hispanic/Latino,2652,American Indian or Alaska Native,White,Hispanic/Latino,2014,7985762
Colorado State University,R1,HSI,West,40.5734,-105.0865,1,0,46738,White,Hispanic/Latino,Two or More Races,54612,White,Hispanic/Latino,Race/Ethnicity Unknown,2014,109764046
Brown University,R1,,Northeast,41.8268,-71.4025,1,0,85488,White,Asian,Nonresident Alien,69870,White,Nonresident Alien,Asian,2014,7418576000
College of Menominee Nation,TCU,,Midwest,44.8772,-88.6107,0,0,2498,American Indian or Alaska Native,White,Hispanic/Latino,6442,American Indian or Alaska Native,White,Black or African American,2014,5987272
University of Oklahoma-Norman Campus,R1,,South,35.2059,-97.4458,1,1,229798,White,Hispanic/Latino,Two or More Races,226774,White,Hispanic/Latino,Black or African American,2014,1181964000
Rollins College,Liberal Arts,,South,28.592,-81.348,1,0,26286,White,Hispanic/Latino,Nonresident Alien,27884,White,Hispanic/Latino,Black or African American,2014,728538000
Rice University,R1,Private,South,29.7174,-95.4018,1,0,59194,White,Asian,Nonresident Alien,47010,White,Asian,Nonresident Alien,2014,12065226000
University of North Texas,R2,HSI,South,33.21,-97.148,1,1,363958,White,Hispanic/Latino,Black or African American,326412,White,Hispanic/Latino,Black or African American,2014,1256932206
University of Virginia-Main Campus,R1,,Mid-Atlantic,38.0336,-78.508,1,1,199584,White,Asian,Nonresident Alien,179154,White,Asian,Nonresident Alien,2014,3208993732
University of Utah,R1,,West,40.7649,-111.8421,1,1,282174,White,Hispanic/Latino,Asian,268132,White,Hispanic/Latino,Nonresident Alien,2014,4011296000
The University of Tennessee-Knoxville,R1,,South,35.954,-83.9299,1,1,283226,White,Hispanic/Latino,Black or African American,235546,White,Black or African American,Nonresident Alien,2014,1505173708
Florida International University,R1,HSI,South,25.757,-80.3773,1,1,462072,Hispanic/Latino,Black or African American,White,395936,Hispanic/Latino,Black or African American,White,2014,1393627832
Loyola Marymount University,Private,,West,33.9701,-118.4175,1,1,80594,White,Hispanic/Latino,Nonresident Alien,71430,White,Hispanic/Latino,Asian,2014,976680000
Fort Lewis College,R2,HSI,West,37.2753,-107.8794,1,0,30970,White,American Indian or Alaska Native,Hispanic/Latino,36464,White,American Indian or Alaska Native,Hispanic/Latino,2014,107304370
"University of California, Davis ",R1,HSI,West,38.5382,-121.7617,1,0,335030,Asian,Hispanic/Latino,White,272684,Asian,White,Hispanic/Latino,2014,920904000
Leech Lake Tribal College,TCU,,Midwest,47.5097,-94.892,0,0,1534,American Indian or Alaska Native,Two or More Races,White,3116,American Indian or Alaska Native,White,Two or More Races,2014,8637912
Rutgers University-New Brunswick,R1,,Mid-Atlantic,40.5006,-74.4476,1,1,404036,White,Asian,Hispanic/Latino,337486,White,Asian,Hispanic/Latino,2014,3387302000
Drexel University,R1,Private,Mid-Atlantic,39.9566,-75.1899,1,0,167274,White,Asian,Nonresident Alien,189912,White,Asian,Nonresident Alien,2014,1490358000
University of Connecticut,R1,,Northeast,41.806,-72.253,1,0,212912,White,Hispanic/Latino,Asian,199440,White,Race/Ethnicity Unknown,Asian,2014,3346996244
University of Missouri-Columbia,R1,,Midwest,38.9404,-92.3277,1,0,255564,White,Black or African American,Hispanic/Latino,286090,White,Black or African American,Nonresident Alien,2014,2757876954
Grinnell College,Liberal Arts,,Midwest,41.7509,-92.7191,1,0,16516,White,Nonresident Alien,Hispanic/Latino,15600,White,Nonresident Alien,Hispanic/Latino,2014,3659962000
University of Denver,R2,Private,West,39.678,-104.9614,1,0,87906,White,Hispanic/Latino,Two or More Races,76522,White,Nonresident Alien,Hispanic/Latino,2014,1080071952
New York University,R1,Private,Northeast,40.7295,-73.9965,1,1,399554,Nonresident Alien,White,Asian,301100,White,Asian,Race/Ethnicity Unknown,2014,7014824000
Bowdoin College,Liberal Arts,,Northeast,43.906,-69.9634,1,0,18110,White,Hispanic/Latino,Asian,17374,White,Hispanic/Latino,Asian,2014,3182322000
Texas A&M University ,R1,HSI,South,30.6187,-96.3365,1,1,340480,Hispanic/Latino,White,Black or African American,304784,White,Hispanic/Latino,Black or African American,2014,1349709772
California Polytechnic State University-San Luis Obispo,R2,,West,35.3004,-120.6625,1,0,203736,White,Hispanic/Latino,Asian,173202,White,Hispanic/Latino,Asian,2014,639002512
University of Louisville,R1,,South,38.2152,-85.7606,1,0,169336,White,Black or African American,Hispanic/Latino,170410,White,Black or African American,Hispanic/Latino,2014,900694000
Columbia University in the City of New York,R1,Private,Northeast,40.8075,-73.9626,1,1,193852,Nonresident Alien,White,Asian,149848,White,Nonresident Alien,Asian,2014,21068094000
Bard College,Liberal Arts,,Northeast,42.0184,-73.9102,1,0,23220,White,Nonresident Alien,Hispanic/Latino,20176,White,Race/Ethnicity Unknown,Nonresident Alien,2014,326178288
Simmons University,Women's College,,Northeast,42.339,-71.1003,1,0,32770,White,Race/Ethnicity Unknown,Hispanic/Latino,29194,White,Race/Ethnicity Unknown,Black or African American,2014,381334142
University of Kentucky,R1,,South,38.0376,-84.5037,1,1,247996,White,Black or African American,Hispanic/Latino,226240,White,Black or African American,Nonresident Alien,2014,2599888092
"California State University, Northridge",R2,HSI,West,34.2381,-118.5287,1,0,333146,Hispanic/Latino,White,Asian,324190,Hispanic/Latino,White,Asian,2014,886322136
DePauw University,Liberal Arts,,Midwest,39.64,-86.8622,1,0,16370,White,Nonresident Alien,Hispanic/Latino,22056,White,Nonresident Alien,Black or African American,2014,1240159134
Sweet Briar College,Women's College,,South,37.5654,-79.0794,1,0,4250,White,Nonresident Alien,Black or African American,6314,White,Black or African American,Hispanic/Latino,2014,129724078
Illinois State University,R2,,Midwest,40.5095,-88.9946,1,0,182952,White,Hispanic/Latino,Black or African American,185878,White,Hispanic/Latino,Black or African American,2014,654108764
Ohio State University,R1,,Midwest,40.0017,-83.0197,1,1,258878,White,Hispanic/Latino,Nonresident Alien,263598,White,Nonresident Alien,Hispanic/Latino,2014,1224877662
University of Wisconsin-Madison,R1,,Midwest,43.0766,-89.4125,1,0,391916,White,Nonresident Alien,Asian,333628,White,Nonresident Alien,Asian,2014,3073958356
Wellesley College,Liberal Arts,Women's College,Northeast,42.2936,-71.3065,1,0,22922,White,Asian,Hispanic/Latino,23182,White,Asian,Nonresident Alien,2014,3773038000
Vanderbilt University,R1,Private,South,36.1447,-86.8027,1,1,94480,White,Asian,Nonresident Alien,88228,White,Nonresident Alien,Black or African American,2014,9153383848
Baylor College of Medicine,R1,Private,South,29.7116,-95.4018,1,0,6440,White,Asian,Nonresident Alien,6100,White,Asian,Nonresident Alien,2014,3085760800
South Dakota State University,R2,,Midwest,44.3196,-96.7851,1,0,95268,White,Nonresident Alien,Hispanic/Latino,108294,White,Nonresident Alien,Two or More Races,2014,357644738
American University ,R2,Private,Mid-Atlantic,38.9375,-77.0897,1,0,98532,White,Hispanic/Latino,Nonresident Alien,90156,White,Race/Ethnicity Unknown,Hispanic/Latino,2014,1789372000
Johns Hopkins University,R1,Private,Mid-Atlantic,39.3289,-76.6205,1,1,156948,White,Nonresident Alien,Asian,116476,White,Nonresident Alien,Asian,2014,8675916000
University of Nebraska-Lincoln,R1,,Midwest,40.8202,-96.7005,1,1,200706,White,Hispanic/Latino,Nonresident Alien,203572,White,Nonresident Alien,Hispanic/Latino,2014,1509291110
University of North Dakota,R2,,Midwest,47.9212,-97.0701,1,0,108118,White,Nonresident Alien,Hispanic/Latino,126074,White,Nonresident Alien,Race/Ethnicity Unknown,2014,574930540
University of Maine,R2,,Northeast,44.9,-68.667,1,1,99474,White,Hispanic/Latino,Two or More Races,90078,White,Race/Ethnicity Unknown,Nonresident Alien,2014,370278000
College of Saint Benedict,Women's College,,Midwest,45.5785,-94.3963,1,0,13830,White,Hispanic/Latino,Asian,19710,White,Nonresident Alien,Asian,2014,129073276
University of Oregon,R1,,West,44.0455,-123.0726,1,0,198928,White,Hispanic/Latino,Two or More Races,213484,White,Nonresident Alien,Hispanic/Latino,2014,1525259292
Pepperdine University,Private,,West,34.04,-118.709,1,1,60184,White,Hispanic/Latino,Asian,48598,White,Hispanic/Latino,Asian,2014,1930500000
University of Texas at Austin,R1,HSI,South,30.2849,-97.7341,1,1,437856,White,Hispanic/Latino,Asian,429330,White,Hispanic/Latino,Asian,2014,2945995954
University of Idaho,R2,,West,46.7253,-117.0002,1,0,88224,White,Hispanic/Latino,Nonresident Alien,101444,White,Hispanic/Latino,Nonresident Alien,2014,305693664
Dartmouth College,R1,,Northeast,43.7044,-72.2887,1,1,51292,White,Nonresident Alien,Asian,47696,White,Asian,Nonresident Alien,2014,9725872004
University of Colorado Boulder,R1,,West,40.0076,-105.2659,1,0,328596,White,Hispanic/Latino,Two or More Races,269576,White,Hispanic/Latino,Asian,2014,2977911774
University of Alabama,R1,,South,33.2098,-87.5692,1,1,328858,White,Black or African American,Hispanic/Latino,286778,White,Black or African American,Nonresident Alien,2014,2167810490
Clemson University,R1,,South,34.675,-82.8354,1,1,239688,White,Hispanic/Latino,Black or African American,174970,White,Black or African American,Nonresident Alien,2014,1817900212
Oregon State University,R1,,West,44.5638,-123.2781,1,1,299580,White,Hispanic/Latino,Asian,226426,White,Nonresident Alien,Asian,2014,1086226480
Arizona State University,R1,HSI,West,33.4219,-111.9332,1,0,54092,White,Hispanic/Latino,Asian,81782,White,Nonresident Alien,Hispanic/Latino,2014,261484000
Wake Forest University,R2,Private,South,36.1355,-80.278,1,1,65790,White,Nonresident Alien,Hispanic/Latino,56094,White,Black or African American,Asian,2014,3302130000
University of Pittsburgh-Pittsburgh Campus,R1,,Mid-Atlantic,40.4445,-79.9561,1,1,254944,White,Asian,Nonresident Alien,217074,White,Nonresident Alien,Asian,2014,7220789070
Northeastern University,R1,Private,Northeast,42.3398,-71.0892,1,1,212306,White,Nonresident Alien,Asian,199684,White,Nonresident Alien,Race/Ethnicity Unknown,2014,1747770000
"University of California, Irvine",R1,HSI,West,33.6405,-117.8443,1,0,304348,Asian,Hispanic/Latino,Nonresident Alien,233034,Asian,White,Hispanic/Latino,2014,893980000
Duke University,R1,Private,South,36.0014,-78.9382,1,1,108162,White,Nonresident Alien,Asian,97398,White,Asian,Nonresident Alien,2014,22456424000
Georgetown University,R1,Private,Mid-Atlantic,38.9076,-77.0723,1,1,125956,White,Nonresident Alien,Asian,110192,White,Nonresident Alien,Asian,2014,3248790000
Michigan State University,R1,,Midwest,42.7018,-84.4822,1,1,414920,White,Asian,Nonresident Alien,401036,White,Nonresident Alien,Black or African American,2014,2784408646
Tufts University,R1,Private,Northeast,42.4075,-71.119,1,0,90954,White,Asian,Nonresident Alien,72060,White,Asian,Race/Ethnicity Unknown,2014,4215946746
Brandeis University,R2,Private,Northeast,42.3668,-71.2586,1,1,42424,White,Nonresident Alien,Asian,43048,White,Nonresident Alien,Race/Ethnicity Unknown,2014,1900400268
Williams College,Liberal Arts,,Northeast,42.7128,-73.203,1,0,20624,White,Asian,Hispanic/Latino,19610,White,Hispanic/Latino,Asian,2014,4927286472
Linfield University,Liberal Arts,,West,45.2101,-123.1987,1,0,16366,White,Hispanic/Latino,Two or More Races,15524,White,Two or More Races,Hispanic/Latino,2014,265821570
University of Delaware,R1,,Mid-Atlantic,39.678,-75.7521,1,1,199968,White,Hispanic/Latino,Nonresident Alien,185312,White,Nonresident Alien,Hispanic/Latino,2014,3565012904
University of Montana,R2,,West,46.8601,-113.984,1,1,78756,White,Two or More Races,Hispanic/Latino,129602,White,Two or More Races,Hispanic/Latino,2014,289353096
