university,type_1,type_2,region,Latitude,Longitude,"publishing_program (1=yes, 0=no)","press (1=yes, 0=no)",student_pop_size_2022_average,demogs_1_2022,demogs_2_2022,demogs_3_2022,student_pop_size_2012_average,demogs_1_2012,demogs_2_2012,demogs_3_2012,2012_revenue,2013_revenue,2014_revenue,2015_revenue,2016_revenue,2017_revenue,2018_revenue,2019_revenue,2020_revenue,2021_revenue,2022_revenue
Cornell University,R1,,Northeast,42.4534,-76.4735,1,1,190784,White,Asian,Nonresident Alien,164528,White,Asian,Nonresident Alien,8639377750,10042171938,10205649398,9820178384,11190902856,11949540662,12516257832,12628343800,17002503050,16856486906,8449102016
University of Arizona,R1,HSI,West,32.2319,-110.9501,1,1,408892,White,Hispanic/Latino,Nonresident Alien,334088,White,Hispanic/Latino,Nonresident Alien,1652716000,1631352000,2063732000,1988114000,2090550000,2174398000,2069734000,2299504000,2407826000,2219512000,1167830000
Tuskegee University,HBCU,,South,32.43,-85.7076,1,0,21814,Black or African American,Race/Ethnicity Unknown,Hispanic/Latino,26788,Black or African American,Race/Ethnicity Unknown,Nonresident Alien,292958430,322033872,306353764,294092048,309834852,311122288,319744136,310709714,401154668,367752238,193723228
University of Washington,R1,,West,47.6553,-122.3035,1,1,34288,White,Hispanic/Latino,Black or African American,45004,White,Race/Ethnicity Unknown,Black or African American,113201576,111797712,105134090,96056094,99126052,100003090,100048428,102077170,108207098,116322722,61853779
Institute of American Indian and Alaska Native Culture and Arts Development,TCU,,West,35.5863,-106.0218,1,0,6194,American Indian or Alaska Native,Hispanic/Latino,White,3246,American Indian or Alaska Native,White,Hispanic/Latino,9910514,10892616,17620742,26028592,39001988,41112234,43980818,47411738,88663152,95428840,53778757
University of North Carolina at Chapel Hill,R1,,South,35.9049,-79.0469,1,1,237692,White,Asian,Hispanic/Latino,217960,White,Black or African American,Asian,3808915816,4287902778,4694501500,3984210058,3779390180,3848221796,4212749234,4270586478,4933545700,5528094506,2857156316
Baylor University,R1,Private,South,31.5493,-97.1143,1,1,167206,White,Hispanic/Latino,Asian,132064,White,Hispanic/Latino,Black or African American,2259318000,2435018000,2433522000,2396096000,2556508000,2722000000,2743998000,2851330000,3811232000,4367520000,2178636000
Sisseton Wahpeton College,TCU,,Midwest,45.6655,-97.0172,0,0,1758,American Indian or Alaska Native,White,Two or More Races,1684,American Indian or Alaska Native,White,Black or African American,8641518,8310122,7540686,5940750,5261232,5885210,4526616,6165276,23825338,19803700,8415555
Texas A&M International University,R2,HSI,South,27.573,-99.4388,1,0,71200,Hispanic/Latino,Nonresident Alien,White,65366,Hispanic/Latino,Nonresident Alien,White,96072668,87878660,107917644,109660854,129987126,158055214,142875034,132581178,159386890,200746876,82906110
Davidson College,Liberal Arts,,South,35.5006,-80.8453,1,0,18166,White,Nonresident Alien,Hispanic/Latino,16900,White,Black or African American,Hispanic/Latino,1162482172,1329161690,1347214910,1317729494,1461424868,1655427222,1782105242,1794272968,2697069586,2613189104,1307044678
