college_name,Total Students,Top Group 1,Top Group 2,Top Group 3
Goucher College,17028,White,Race/Ethnicity Unknown,Black or African American
Agnes Scott College,8170,White,Black or African American,Nonresident Alien
Furman University,26700,White,Black or African American,Race/Ethnicity Unknown
Whitman College,14552,White,Asian,Hispanic/Latino
University of Alaska Fairbanks,74118,White,Race/Ethnicity Unknown,American Indian or Alaska Native
University of San Diego,62662,White,Hispanic/Latino,Asian
University of Indianapolis,45510,White,Black or African American,Nonresident Alien
University of North Carolina Wilmington,123840,White,Hispanic/Latino,Black or African American
University of Missouri-Kansas City,116726,White,Black or African American,Race/Ethnicity Unknown
University of Hawaii at Hilo,36458,Two or More Races,White,Asian
University of North Alabama,61060,White,Black or African American,Nonresident Alien
New College of Florida,7874,White,Hispanic/Latino,Two or More Races
Mississippi State University,174012,White,Black or African American,Nonresident Alien
University of West Georgia,102030,White,Black or African American,Hispanic/Latino
University of Central Missouri,99484,White,Race/Ethnicity Unknown,Black or African American
Bowie State University,46270,Black or African American,White,Hispanic/Latino
Eastern Michigan University,200186,White,Black or African American,Race/Ethnicity Unknown
Sam Houston State University,162680,White,Hispanic/Latino,Black or African American
University of Northern Iowa,109046,White,Nonresident Alien,Black or African American
Florida Gulf Coast University,121064,White,Hispanic/Latino,Black or African American
Portland State University,236362,White,Hispanic/Latino,Asian
East Tennessee State University,128214,White,Black or African American,Two or More Races
Indiana State University,102544,White,Black or African American,Nonresident Alien
Montana Technological University,18660,White,Nonresident Alien,Race/Ethnicity Unknown
Western Carolina University,82458,White,Black or African American,Hispanic/Latino
Fayetteville State University,53638,Black or African American,White,Race/Ethnicity Unknown
University of Wisconsin-Eau Claire,102630,White,Asian,Nonresident Alien
University of Michigan-Dearborn,76006,White,Black or African American,Asian
Winston-Salem State University,52608,Black or African American,White,Race/Ethnicity Unknown
University of Houston-Clear Lake,59818,White,Hispanic/Latino,Black or African American
Tarleton State University,109472,White,Race/Ethnicity Unknown,Hispanic/Latino
Trinity University,22264,White,Hispanic/Latino,Asian
Southeastern Louisiana University,135038,White,Black or African American,Hispanic/Latino
The College of New Jersey,64968,White,Hispanic/Latino,Asian
Appalachian State University,157832,White,Hispanic/Latino,Black or African American
Grand Valley State University,218226,White,Black or African American,Hispanic/Latino
Texas Southern University,78012,Black or African American,Hispanic/Latino,Nonresident Alien
Northern Arizona University,225614,White,Hispanic/Latino,Two or More Races
University of Nebraska at Kearney,59356,White,Nonresident Alien,Hispanic/Latino
University of Michigan,72580,White,Black or African American,Race/Ethnicity Unknown
"University of California, Berkeley",289892,Asian,White,Hispanic/Latino
New Mexico State University,8798,Hispanic/Latino,American Indian or Alaska Native,White
Florida A&M University,342306,White,Hispanic/Latino,Black or African American
University of Texas Rio Grande Valley,170324,Hispanic/Latino,White,Nonresident Alien
University of Washington,45004,White,Race/Ethnicity Unknown,Black or African American
Institute of American Indian and Alaska Native Culture and Arts Development,3246,American Indian or Alaska Native,White,Hispanic/Latino
Texas A&M International University,65366,Hispanic/Latino,Nonresident Alien,White
"University of California, Merced",52642,Hispanic/Latino,Asian,White
University of Illinois at Urbana-Champaign,353840,White,Nonresident Alien,Asian
North Carolina A&T State University,91196,Black or African American,White,Race/Ethnicity Unknown
University of New Mexico-Main Campus,238874,Hispanic/Latino,White,American Indian or Alaska Native
Purdue University,97398,White,Asian,Nonresident Alien
"University of Maryland, College Park",297586,White,Asian,Black or African American
Georgia Institute of Technology,37668,White,Nonresident Alien,Race/Ethnicity Unknown
Colorado State University,54612,White,Hispanic/Latino,Race/Ethnicity Unknown
University of Oklahoma-Norman Campus,226774,White,Hispanic/Latino,Black or African American
University of Virginia-Main Campus,179154,White,Asian,Nonresident Alien
The University of Tennessee-Knoxville,235546,White,Black or African American,Nonresident Alien
"University of California, Davis",272684,Asian,White,Hispanic/Latino
