college_name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
College of Menominee Nation,8244010.0,8156592.0,5987272.0,6160330.0,7405678.0,7663462.0,8101452.0,8464890.0,10722590.0,21917852.0,10476684.0
Rollins College,735858000.0,744284000.0,728538000.0,678372000.0,710508000.0,758262000.0,740754000.0,721458000.0,905672000.0,919778000.0,431378000.0
Rice University,10529262000.0,11910408000.0,12065226000.0,11554882000.0,12700556000.0,13482742000.0,14157624000.0,13545672000.0,17458386000.0,16847406000.0,8232265000.0
University of North Texas,1182344548.0,1147547916.0,1256932206.0,1384232120.0,1556804976.0,1474083688.0,1376087420.0,1409213434.0,1590180970.0,1829703840.0,991718504.0
University of Utah,3785970000.0,3692082000.0,4011296000.0,4008730000.0,4174226000.0,4809822000.0,5320952000.0,6053734000.0,7016828000.0,6472876000.0,3190933000.0
Florida International University,1233345104.0,1283030002.0,1393627832.0,1354719586.0,1405791732.0,1466211212.0,1589899478.0,1627957774.0,1898943412.0,1850356712.0,985067857.0
Loyola Marymount University,913164000.0,1010148000.0,976680000.0,919274000.0,1011774000.0,1093074000.0,1099338000.0,1098344000.0,1406104000.0,1421286000.0,718336000.0
Fort Lewis College,107141826.0,110233978.0,107304370.0,111525026.0,97106708.0,95941868.0,100523330.0,113887598.0,127843406.0,146359820.0,68088255.0
Leech Lake Tribal College,9137626.0,11874090.0,8637912.0,9185850.0,10043364.0,10270108.0,11087702.0,14833906.0,18273394.0,28967122.0,15772803.0
Rutgers University-New Brunswick,2808442000.0,3353482000.0,3387302000.0,3359062000.0,3177412000.0,3167836000.0,3284300000.0,3589674000.0,4099040000.0,4167699000.0,2157746000.0
Drexel University,1340622000.0,1466214000.0,1490358000.0,1442982000.0,1568066000.0,1665628000.0,1737846000.0,1621366000.0,2051754000.0,1961758000.0,990136000.0
University of Connecticut,1929108310.0,2357126450.0,3346996244.0,2829281080.0,2872454524.0,3267755058.0,3188141352.0,2801402890.0,2914244934.0,3502848436.0,1519385696.0
Grinnell College,3208118000.0,3740964000.0,3659962000.0,3384524000.0,4081830000.0,4231512000.0,4299990000.0,4329262000.0,6174586000.0,5254324000.0,2637527000.0
University of Denver,849014198.0,978061358.0,1080071952.0,1280053582.0,1499474416.0,1582375248.0,1628448640.0,1586313126.0,2122465144.0,2013724210.0,1027748396.0
New York University,6016426000.0,6933278000.0,7014824000.0,7230834000.0,8215160000.0,8502500000.0,8502614000.0,9221684000.0,11514888000.0,10636448000.0,5883274000.0
Bowdoin College,2526854000.0,2866732000.0,3182322000.0,3066848000.0,3457448000.0,3781194000.0,3888804000.0,3888490000.0,5742648000.0,5346374000.0,2598933000.0
University of Louisville,743714000.0,807496000.0,900694000.0,883490000.0,824274000.0,822970000.0,931016000.0,976650000.0,1248028000.0,1353392000.0,689579000.0
Bard College,333831222.0,325655370.0,326178288.0,273084938.0,297554378.0,296233746.0,272629658.0,267839886.0,395780068.0,339912918.0,178043416.0
Simmons University,338593104.0,382351050.0,381334142.0,348225254.0,378909298.0,390905524.0,393488724.0,383390532.0,491433308.0,428157198.0,225924696.0
University of Kentucky,1859504702.0,1964712876.0,2599888092.0,2756853504.0,2823083976.0,2887905264.0,2762250932.0,3790531230.0,4266968536.0,4853611924.0,3329028790.0
DePauw University,1051196258.0,1193845870.0,1240159134.0,1140606118.0,1244066708.0,1340951664.0,1342695254.0,1277118686.0,1520590096.0,1410634520.0,740660751.0
Sweet Briar College,191694446.0,192036256.0,129724078.0,152921436.0,156050640.0,151416404.0,140412974.0,124621296.0,154451696.0,131295222.0,66994473.0
Illinois State University,619932280.0,598682290.0,654108764.0,694709588.0,711927470.0,684781114.0,729671134.0,858806260.0,1052436940.0,988210060.0,526692665.0
University of Wisconsin-Madison,2864765528.0,2737194448.0,3073958356.0,3130742662.0,3279214560.0,3761960533.0,4147778300.0,4325125140.0,4796791440.0,5288107038.0,2791941912.0
Wellesley College,3160806000.0,3676572000.0,3773038000.0,3647176000.0,3950506000.0,4226408000.0,4363148000.0,4590302000.0,6501368000.0,5717862000.0,2899823000.0
Vanderbilt University,8656617484.0,8659346704.0,9153383848.0,8093371212.0,8991261154.0,10198196056.0,13847997610.0,14067244058.0,21905648698.0,20803622634.0,10048013509.0
Baylor College of Medicine,1806740578.0,2767774808.0,3085760800.0,3024674946.0,3200338670.0,3327554512.0,3399424014.0,3089998070.0,4021897234.0,3580381710.0,1766845398.0
South Dakota State University,287177268.0,304558338.0,357644738.0,352564760.0,362679168.0,366091844.0,395202322.0,357404032.0,371885770.0,387977698.0,187764432.0
American University,1531958000.0,1765368000.0,1789372000.0,1718438000.0,1904078000.0,1996908000.0,1930356000.0,1965518000.0,2678576000.0,2507040000.0,1307727000.0
Johns Hopkins University,7960476000.0,8852304000.0,8675916000.0,8546254000.0,9531260000.0,10521958000.0,14608412000.0,15519520000.0,21173032000.0,18695538000.0,11606593000.0
University of Nebraska-Lincoln,1354588008.0,1439737746.0,1509291110.0,1535439328.0,1566348496.0,1623285918.0,1655601886.0,1535760854.0,1604933568.0,1713805328.0,840884338.0
University of North Dakota,463127516.0,551067946.0,574930540.0,617513560.0,646589356.0,681960018.0,650010318.0,746124748.0,934636364.0,1023595180.0,546862030.0
University of Maine,393762000.0,380052000.0,370278000.0,389296000.0,416320000.0,437252000.0,457174000.0,448632000.0,477616000.0,577192000.0,252326000.0
College of Saint Benedict,111359762.0,127586138.0,129073276.0,164473428.0,150293340.0,163137558.0,174287354.0,184366234.0,235453308.0,215451060.0,121219265.0
University of Oregon,1008577962.0,1312424020.0,1525259292.0,1573078016.0,1406272574.0,1348985744.0,1360676022.0,1270366816.0,1356235618.0,1514551290.0,798208781.0
Pepperdine University,1909138000.0,2183014000.0,1930500000.0,2137910000.0,2295460000.0,2533244000.0,2548114000.0,2755146000.0,3450218000.0,3449148000.0,1755696000.0
University of Idaho,280477993.0,264253036.0,305693664.0,319270266.0,310343988.0,285591418.0,318260524.0,311431852.0,365339354.0,337366316.0,162467965.0
Dartmouth College,7827580954.0,9322055612.0,9725872004.0,9337867350.0,10423701664.0,11375990710.0,11849358288.0,12315363414.0,17385278794.0,16473935632.0,8089512700.0
University of Colorado Boulder,2644790882.0,2745474068.0,2977911774.0,3040481380.0,3138278132.0,3295444464.0,3280707700.0,3396931176.0,3452009680.0,3990402586.0,2193503562.0
Clemson University,1436084586.0,1471367102.0,1817900212.0,1849122794.0,1765546270.0,2015796442.0,2138415026.0,2197374018.0,2500659750.0,3223676112.0,1859913999.0
Oregon State University,767553346.0,1000935770.0,1086226480.0,1001589872.0,1025074012.0,1127379562.0,1441721494.0,1523995366.0,1501631034.0,1383116298.0,726167122.0
Wake Forest University,2933932000.0,3233956000.0,3302130000.0,3439542000.0,3533506000.0,3853788000.0,4010370000.0,4010900000.0,5822758000.0,5664394000.0,3015177000.0
Northeastern University,1422484000.0,1773426000.0,1747770000.0,1680542000.0,1953000000.0,2226340000.0,2546136000.0,2321438000.0,3370238000.0,3709464000.0,2058371000.0
Duke University,19911302000.0,22790329000.0,22456424000.0,21806852000.0,25404496000.0,27504288000.0,28093878000.0,29055738000.0,40675316000.0,38076860000.0,18275252000.0
