college_name,UNITID,INSTNM,CONTROL,SECTOR,CITY,STABBR,match_type
Seattle University,236595,Seattle University,2,2,Seattle,WA,exact
Stetson University,137546,Stetson University,2,2,DeLand,FL,exact
University of Wyoming,240727,University of Wyoming,1,1,Laramie,WY,exact
Seton Hall University,186584,Seton Hall University,2,2,South Orange,NJ,exact
Drake University,153269,Drake University,2,2,Des Moines,IA,exact
Hofstra University,191649,Hofstra University,2,2,Hempstead,NY,exact
Loyola University Chicago,146719,Loyola University Chicago,2,2,Chicago,IL,exact
Saint Louis University,179159,Saint Louis University,2,2,Saint Louis,MO,exact
University of Notre Dame,152080,University of Notre Dame,2,2,Notre Dame,IN,exact
University of Houston,225511,University of Houston,1,1,Houston,TX,exact
Marquette University,239105,Marquette University,2,2,Milwaukee,WI,exact
St. John's College,163976,St. John's College,2,2,Annapolis,MD,exact
St. John's College,245652,St. John's College,2,2,Santa Fe,NM,exact
Creighton University,181002,Creighton University,2,2,Omaha,NE,exact
Goucher College,162654,Goucher College,2,2,Baltimore,MD,exact
Agnes Scott College,138600,Agnes Scott College,2,2,Decatur,GA,exact
Furman University,218070,Furman University,2,2,Greenville,SC,exact
Whitman College,237057,Whitman College,2,2,Walla Walla,WA,exact
University of Alaska Fairbanks,102614,University of Alaska Fairbanks,1,1,Fairbanks,AK,exact
University of San Diego,122436,University of San Diego,2,2,San Diego,CA,exact
University of Indianapolis,151263,University of Indianapolis,2,2,Indianapolis,IN,exact
University of North Carolina Wilmington,199218,University of North Carolina Wilmington,1,1,Wilmington,NC,exact
University of Missouri-Kansas City,178402,University of Missouri-Kansas City,1,1,Kansas City,MO,exact
University of Hawaii at Hilo,141565,University of Hawaii at Hilo,1,1,Hilo,HI,exact
University of North Alabama,101879,University of North Alabama,1,1,Florence,AL,exact
New College of Florida,262129,New College of Florida,1,1,Sarasota,FL,exact
Mississippi State University,176080,Mississippi State University,1,1,Mississippi State,MS,exact
University of West Georgia,141334,University of West Georgia,1,1,Carrollton,GA,exact
University of Central Missouri,176965,University of Central Missouri,1,1,Warrensburg,MO,exact
Bowie State University,162007,Bowie State University,1,1,Bowie,MD,exact
Eastern Michigan University,169798,Eastern Michigan University,1,1,Ypsilanti,MI,exact
Sam Houston State University,227881,Sam Houston State University,1,1,Huntsville,TX,exact
University of Northern Iowa,154095,University of Northern Iowa,1,1,Cedar Falls,IA,exact
Florida Gulf Coast University,433660,Florida Gulf Coast University,1,1,Fort Myers,FL,exact
Portland State University,209807,Portland State University,1,1,Portland,OR,exact
East Tennessee State University,220075,East Tennessee State University,1,1,Johnson City,TN,exact
Indiana State University,151324,Indiana State University,1,1,Terre Haute,IN,exact
Montana Technological University,180416,Montana Technological University,1,1,Butte,MT,exact
Western Carolina University,200004,Western Carolina University,1,1,Cullowhee,NC,exact
Fayetteville State University,198543,Fayetteville State University,1,1,Fayetteville,NC,exact
University of Wisconsin-Eau Claire,240268,University of Wisconsin-Eau Claire,1,1,Eau Claire,WI,exact
University of North Georgia,482680,University of North Georgia,1,1,Dahlonega,GA,exact
University of Michigan-Dearborn,171137,University of Michigan-Dearborn,1,1,Dearborn,MI,exact
Winston-Salem State University,199999,Winston-Salem State University,1,1,Winston-Salem,NC,exact
University of Houston-Clear Lake,225414,University of Houston-Clear Lake,1,1,Houston,TX,exact
Tarleton State University,228529,Tarleton State University,1,1,Stephenville,TX,exact
Trinity University,229267,Trinity University,2,2,San Antonio,TX,exact
Southeastern Louisiana University,160612,Southeastern Louisiana University,1,1,Hammond,LA,exact
The College of New Jersey,187134,The College of New Jersey,1,1,Ewing,NJ,exact
Appalachian State University,197869,Appalachian State University,1,1,Boone,NC,exact
Grand Valley State University,170082,Grand Valley State University,1,1,Allendale,MI,exact
Texas Southern University,229063,Texas Southern University,1,1,Houston,TX,exact
Northern Arizona University,105330,Northern Arizona University,1,1,Flagstaff,AZ,exact
University of Nebraska at Kearney,181215,University of Nebraska at Kearney,1,1,Kearney,NE,exact
University of Michigan,171146,University of Michigan-Flint,1,1,Flint,MI,fuzzy
"University of California, Berkeley",110635,University of California-Berkeley,1,1,Berkeley,CA,fuzzy
New Mexico State University,188021,New Mexico State University-Grants,1,4,Grants,NM,fuzzy
Florida A&M University,134097,Florida State University,1,1,Tallahassee,FL,fuzzy
University of Texas Rio Grande Valley,227368,The University of Texas Rio Grande Valley,1,1,Edinburg,TX,fuzzy
University of Washington,232681,University of Mary Washington,1,1,Fredericksburg,VA,fuzzy
Institute of American Indian and Alaska Native Culture and Arts Development,187745,Institute of American Indian and Alaska Native Culture and Arts Development,1,1,Santa Fe,NM,manual
Texas A&M International University,226152,Texas A & M International University,1,1,Laredo,TX,fuzzy
"University of California, Merced",445188,University of California-Merced,1,1,Merced,CA,fuzzy
University of Illinois at Urbana-Champaign,145637,University of Illinois Urbana-Champaign,1,1,Champaign,IL,fuzzy
North Carolina A&T State University,199102,North Carolina A & T State University,1,1,Greensboro,NC,fuzzy
University of New Mexico-Main Campus,187985,University of New Mexico-Main Campus,1,1,Albuquerque,NM,manual
Purdue University,198419,Duke University,2,2,Durham,NC,fuzzy
"University of Maryland, College Park",163286,University of Maryland-College Park,1,1,College Park,MD,fuzzy
Georgia Institute of Technology,133881,Florida Institute of Technology,2,2,Melbourne,FL,fuzzy
Colorado State University,128106,Colorado State University Pueblo,1,1,Pueblo,CO,fuzzy
University of Oklahoma-Norman Campus,207500,University of Oklahoma-Norman Campus,1,1,Norman,OK,manual
University of Virginia-Main Campus,234076,University of Virginia-Main Campus,1,1,Charlottesville,VA,manual
The University of Tennessee-Knoxville,221759,The University of Tennessee-Knoxville,1,1,Knoxville,TN,manual
"University of California, Davis",110644,University of California-Davis,1,1,Davis,CA,fuzzy
University of Missouri-Columbia,178396,University of Missouri-Columbia,1,1,Columbia,MO,manual
Texas A&M University,228459,Texas State University,1,1,San Marcos,TX,fuzzy
California Polytechnic State University-San Luis Obispo,110422,California Polytechnic State University-San Luis Obispo,1,1,San Luis Obispo,CA,manual
Columbia University in the City of New York,190150,Columbia University in the City of New York,2,2,New York,NY,manual
"California State University, Northridge",110608,California State University-Northridge,1,1,Northridge,CA,fuzzy
Ohio State University,153603,Iowa State University,1,1,Ames,IA,fuzzy
University of Texas at Austin,228778,The University of Texas at Austin,1,1,Austin,TX,fuzzy
University of Alabama,100751,The University of Alabama,1,1,Tuscaloosa,AL,fuzzy
Arizona State University,175272,Winona State University,1,1,Winona,MN,fuzzy
University of Pittsburgh-Pittsburgh Campus,215293,University of Pittsburgh-Pittsburgh Campus,1,1,Pittsburgh,PA,manual
"University of California, Irvine",110653,University of California-Irvine,1,1,Irvine,CA,fuzzy
University of Montana,180489,The University of Montana,1,1,Missoula,MT,fuzzy
"University of Nevada, Reno",182290,University of Nevada-Reno,1,1,Reno,NV,fuzzy
Washington University in St. Louis,179867,Washington University in St Louis,2,2,Saint Louis,MO,fuzzy
Catholic University of America,131283,The Catholic University of America,2,2,Washington,DC,fuzzy
"University of California, Santa Barbara",110705,University of California-Santa Barbara,1,1,Santa Barbara,CA,fuzzy
University of Tampa,137847,The University of Tampa,2,2,Tampa,FL,fuzzy
University of Texas at El Paso,228796,The University of Texas at El Paso,1,1,El Paso,TX,fuzzy
University of Massachusetts Amherst,166629,University of Massachusetts-Amherst,1,1,Amherst,MA,fuzzy
University of West Florida,138354,The University of West Florida,1,1,Pensacola,FL,fuzzy
"University of California, Riverside",110671,University of California-Riverside,1,1,Riverside,CA,fuzzy
University of Massachusetts Lowell,166513,University of Massachusetts-Lowell,1,1,Lowell,MA,fuzzy
University of North Carolina Asheville,199111,University of North Carolina at Asheville,1,1,Asheville,NC,fuzzy
University of Texas Health Science Center at Houston,229300,The University of Texas Health Science Center at Houston,1,1,Houston,TX,fuzzy
University of Texas Medical Branch at Galveston,228653,The University of Texas Medical Branch at Galveston,1,1,Galveston,TX,fuzzy
University of Texas MD Anderson Cancer Center,416801,The University of Texas MD Anderson Cancer Center,1,1,Houston,TX,fuzzy
"California State University, Chico",110538,California State University-Chico,1,1,Chico,CA,fuzzy
University of Massachusetts Dartmouth,167987,University of Massachusetts-Dartmouth,1,1,North Dartmouth,MA,fuzzy
"California State University, San Marcos",366711,California State University-San Marcos,1,1,San Marcos,CA,fuzzy
Texas Woman’s University,229179,Texas Woman's University,1,1,Denton,TX,fuzzy
"California State Polytechnic University, Pomona",110529,California State Polytechnic University-Pomona,1,1,Pomona,CA,fuzzy
University of Texas Permian Basin,229018,The University of Texas Permian Basin,1,1,Odessa,TX,fuzzy
"Minnesota State University, Mankato",173920,Minnesota State University-Mankato,1,1,Mankato,MN,fuzzy
North Dakota State University,219356,South Dakota State University,1,1,Brookings,SD,fuzzy
