college_name,Total Students,Top Group 1,Top Group 2,Top Group 3
University of North Dakota,108118,White,Nonresident Alien,Hispanic/Latino
University of Maine,99474,White,Hispanic/Latino,Two or More Races
College of Saint Benedict,13830,White,Hispanic/Latino,Asian
University of Oregon,198928,White,Hispanic/Latino,Two or More Races
Pepperdine University,60184,White,Hispanic/Latino,Asian
University of Idaho,88224,White,Hispanic/Latino,Nonresident Alien
Dartmouth College,51292,White,Nonresident Alien,Asian
University of Colorado Boulder,328596,White,Hispanic/Latino,Two or More Races
Clemson University,239688,White,Hispanic/Latino,Black or African American
Oregon State University,299580,White,Hispanic/Latino,Asian
Wake Forest University,65790,White,Nonresident Alien,Hispanic/Latino
Northeastern University,212306,White,Nonresident Alien,Asian
Duke University,108162,White,Nonresident Alien,Asian
Georgetown University,125956,White,Nonresident Alien,Asian
Michigan State University,414920,White,Asian,Nonresident Alien
Tufts University,90954,White,Asian,Nonresident Alien
Brandeis University,42424,White,Nonresident Alien,Asian
Williams College,20624,White,Asian,Hispanic/Latino
Linfield University,16366,White,Hispanic/Latino,Two or More Races
University of Delaware,199968,White,Hispanic/Latino,Nonresident Alien
West Virginia University,200744,White,Two or More Races,Hispanic/Latino
California Baptist University,92350,Hispanic/Latino,White,Black or African American
University of South Florida,407946,White,Hispanic/Latino,Nonresident Alien
Seattle University,50700,White,Asian,Hispanic/Latino
Stetson University,29570,White,Hispanic/Latino,Black or African American
University of Wyoming,91634,White,Hispanic/Latino,Race/Ethnicity Unknown
Seton Hall University,70988,White,Hispanic/Latino,Black or African American
Drake University,34120,White,Hispanic/Latino,Black or African American
Hofstra University,73956,White,Hispanic/Latino,Asian
Loyola University Chicago,131308,White,Hispanic/Latino,Asian
Saint Louis University,110342,White,Race/Ethnicity Unknown,Asian
University of Notre Dame,101956,White,Hispanic/Latino,Nonresident Alien
University of Houston,399896,Hispanic/Latino,Asian,White
Marquette University,84918,White,Hispanic/Latino,Asian
St. John's College,4676,White,Nonresident Alien,Hispanic/Latino
St. John's College,3764,White,Nonresident Alien,Hispanic/Latino
Creighton University,57156,White,Hispanic/Latino,Asian
Goucher College,12296,White,Black or African American,Race/Ethnicity Unknown
Agnes Scott College,9608,White,Black or African American,Hispanic/Latino
Furman University,22156,White,Black or African American,Hispanic/Latino
Whitman College,14174,White,Nonresident Alien,Hispanic/Latino
University of Alaska Fairbanks,52370,White,American Indian or Alaska Native,Two or More Races
University of San Diego,66406,White,Hispanic/Latino,Asian
University of Indianapolis,40310,White,Black or African American,Nonresident Alien
University of North Carolina Wilmington,151060,White,Hispanic/Latino,Black or African American
University of Missouri-Kansas City,106756,White,Hispanic/Latino,Black or African American
University of Hawaii at Hilo,25834,Two or More Races,White,Hispanic/Latino
University of North Alabama,72532,White,Black or African American,Nonresident Alien
New College of Florida,6394,White,Hispanic/Latino,Two or More Races
Mississippi State University,193088,White,Black or African American,Hispanic/Latino
University of West Georgia,93814,White,Black or African American,Hispanic/Latino
University of Central Missouri,82862,White,Nonresident Alien,Black or African American
Bowie State University,54636,Black or African American,Hispanic/Latino,Two or More Races
Eastern Michigan University,120076,White,Black or African American,Hispanic/Latino
Sam Houston State University,188338,White,Hispanic/Latino,Black or African American
University of Northern Iowa,78662,White,Hispanic/Latino,Black or African American
Florida Gulf Coast University,141714,White,Hispanic/Latino,Black or African American
Portland State University,174088,White,Hispanic/Latino,Asian
East Tennessee State University,110016,White,Race/Ethnicity Unknown,Black or African American
Indiana State University,73196,White,Black or African American,Hispanic/Latino
Montana Technological University,14452,White,Race/Ethnicity Unknown,Hispanic/Latino
Western Carolina University,101824,White,Hispanic/Latino,Black or African American
Fayetteville State University,57944,Black or African American,White,Hispanic/Latino
University of Wisconsin-Eau Claire,91546,White,Hispanic/Latino,Two or More Races
University of North Georgia,162110,White,Hispanic/Latino,Black or African American
University of Michigan-Dearborn,66962,White,Asian,Nonresident Alien
Winston-Salem State University,45128,Black or African American,White,Hispanic/Latino
University of Houston-Clear Lake,71618,Hispanic/Latino,White,Asian
Tarleton State University,122752,White,Hispanic/Latino,Black or African American
Trinity University,24446,White,Hispanic/Latino,Asian
Southeastern Louisiana University,112254,White,Black or African American,Hispanic/Latino
The College of New Jersey,68788,White,Hispanic/Latino,Asian
Appalachian State University,184894,White,Hispanic/Latino,Two or More Races
Grand Valley State University,190120,White,Hispanic/Latino,Black or African American
Texas Southern University,70764,Black or African American,Hispanic/Latino,Two or More Races
Northern Arizona University,239962,White,Hispanic/Latino,Two or More Races
University of Nebraska at Kearney,47612,White,Hispanic/Latino,Nonresident Alien
University of Michigan,48232,White,Black or African American,Hispanic/Latino
"University of California, Berkeley",362634,Asian,White,Hispanic/Latino
New Mexico State University,6154,Hispanic/Latino,American Indian or Alaska Native,White
Florida A&M University,361220,White,Hispanic/Latino,Black or African American
University of Texas Rio Grande Valley,273244,Hispanic/Latino,White,Nonresident Alien
University of Washington,34288,White,Hispanic/Latino,Black or African American
Institute of American Indian and Alaska Native Culture and Arts Development,6194,American Indian or Alaska Native,Hispanic/Latino,White
Texas A&M International University,71200,Hispanic/Latino,Nonresident Alien,White
"University of California, Merced",81684,Hispanic/Latino,Asian,White
University of Illinois at Urbana-Champaign,418114,White,Asian,Nonresident Alien
North Carolina A&T State University,117676,Black or African American,Hispanic/Latino,Two or More Races
University of New Mexico-Main Campus,173316,Hispanic/Latino,White,American Indian or Alaska Native
Purdue University,108162,White,Nonresident Alien,Asian
"University of Maryland, College Park",332104,White,Asian,Black or African American
Georgia Institute of Technology,50888,White,Nonresident Alien,Hispanic/Latino
Colorado State University,46738,White,Hispanic/Latino,Two or More Races
University of Oklahoma-Norman Campus,229798,White,Hispanic/Latino,Two or More Races
University of Virginia-Main Campus,199584,White,Asian,Nonresident Alien
The University of Tennessee-Knoxville,283226,White,Hispanic/Latino,Black or African American
"University of California, Davis",335030,Asian,Hispanic/Latino,White
University of Missouri-Columbia,255564,White,Black or African American,Hispanic/Latino
Texas A&M University,340480,Hispanic/Latino,White,Black or African American
California Polytechnic State University-San Luis Obispo,203736,White,Hispanic/Latino,Asian
Columbia University in the City of New York,193852,Nonresident Alien,White,Asian
"California State University, Northridge",333146,Hispanic/Latino,White,Asian
Ohio State University,258878,White,Hispanic/Latino,Nonresident Alien
University of Texas at Austin,437856,White,Hispanic/Latino,Asian
University of Alabama,328858,White,Black or African American,Hispanic/Latino
Arizona State University,54092,White,Hispanic/Latino,Asian
University of Pittsburgh-Pittsburgh Campus,254944,White,Asian,Nonresident Alien
"University of California, Irvine",304348,Asian,Hispanic/Latino,Nonresident Alien
University of Montana,78756,White,Two or More Races,Hispanic/Latino
"University of Nevada, Reno",174718,White,Hispanic/Latino,Two or More Races
Washington University in St. Louis,111890,White,Nonresident Alien,Asian
Catholic University of America,36196,White,Hispanic/Latino,Black or African American
"University of California, Santa Barbara",236342,White,Hispanic/Latino,Asian
University of Tampa,96084,White,Hispanic/Latino,Race/Ethnicity Unknown
University of Texas at El Paso,208778,Hispanic/Latino,White,Nonresident Alien
University of Massachusetts Amherst,262964,White,Asian,Nonresident Alien
University of West Florida,105524,White,Hispanic/Latino,Black or African American
"University of California, Riverside",233280,Hispanic/Latino,Asian,White
University of Massachusetts Lowell,137456,White,Asian,Hispanic/Latino
University of North Carolina Asheville,27682,White,Hispanic/Latino,Black or African American
University of Texas Health Science Center at Houston,24740,White,Asian,Hispanic/Latino
University of Texas Medical Branch at Galveston,16954,White,Hispanic/Latino,Asian
University of Texas MD Anderson Cancer Center,3478,Hispanic/Latino,Asian,White
"California State University, Chico",130066,White,Hispanic/Latino,Asian
University of Massachusetts Dartmouth,59548,White,Black or African American,Hispanic/Latino
"California State University, San Marcos",138538,Hispanic/Latino,White,Asian
Texas Woman’s University,116956,White,Hispanic/Latino,Black or African American
"California State Polytechnic University, Pomona",253384,Hispanic/Latino,Asian,White
University of Texas Permian Basin,47566,Hispanic/Latino,White,Black or African American
"Minnesota State University, Mankato",124514,White,Nonresident Alien,Black or African American
North Dakota State University,95268,White,Nonresident Alien,Hispanic/Latino
