college_name,Total Students,Top Group 1,Top Group 2,Top Group 3
Howard University,103148,Black or African American,Race/Ethnicity Unknown,Hispanic/Latino
Stanford University,116808,White,Asian,Nonresident Alien
Morehouse College,24310,Black or African American,Two or More Races,Nonresident Alien
Swarthmore College,15360,White,Asian,Hispanic/Latino
Massachusetts Institute of Technology,73026,Asian,White,Nonresident Alien
Spelman College,29850,Black or African American,White,Race/Ethnicity Unknown
Amherst College,18046,White,Hispanic/Latino,Asian
Navajo Technical University,11374,American Indian or Alaska Native,Hispanic/Latino,White
University of Southern California,312358,White,Nonresident Alien,Asian
Fisk University,9666,Black or African American,Nonresident Alien,Race/Ethnicity Unknown
Harvard University,169864,White,Nonresident Alien,Asian
Haskell Indian Nations University,6860,American Indian or Alaska Native,Nonresident Alien,Hispanic/Latino
University of Georgia,333574,White,Asian,Hispanic/Latino
University of Central Florida,609102,White,Hispanic/Latino,Black or African American
Xavier University of Louisiana,28116,Black or African American,Hispanic/Latino,Two or More Races
Yale University,95842,White,Asian,Nonresident Alien
Colgate University,29696,White,Hispanic/Latino,Nonresident Alien
San Diego State University,328090,Hispanic/Latino,White,Asian
Cornell University,190784,White,Asian,Nonresident Alien
University of Arizona,408892,White,Hispanic/Latino,Nonresident Alien
Tuskegee University,21814,Black or African American,Race/Ethnicity Unknown,Hispanic/Latino
University of North Carolina at Chapel Hill,237692,White,Asian,Hispanic/Latino
Baylor University,167206,White,Hispanic/Latino,Asian
Sisseton Wahpeton College,1758,American Indian or Alaska Native,White,Two or More Races
Davidson College,18166,White,Nonresident Alien,Hispanic/Latino
University of Florida,411416,White,Hispanic/Latino,Asian
Hampton University,28486,Black or African American,Race/Ethnicity Unknown,White
University of Vermont,119452,White,Hispanic/Latino,Two or More Races
Reed College,14370,White,Hispanic/Latino,Two or More Races
Princeton University,65690,White,Asian,Nonresident Alien
Claremont McKenna College,13216,White,Hispanic/Latino,Asian
Oglala Lakota College,11260,American Indian or Alaska Native,White,Two or More Races
University of Kansas,210556,White,Hispanic/Latino,Asian
Jackson State University,54834,Black or African American,White,Nonresident Alien
Middlebury College,26644,White,Nonresident Alien,Hispanic/Latino
University of Mississippi,183502,White,Black or African American,Hispanic/Latino
Northwestern University,141902,White,Asian,Nonresident Alien
Sitting Bull College,2300,American Indian or Alaska Native,White,Hispanic/Latino
Brown University,85488,White,Asian,Nonresident Alien
College of Menominee Nation,2498,American Indian or Alaska Native,White,Hispanic/Latino
Rollins College,26286,White,Hispanic/Latino,Nonresident Alien
Rice University,59194,White,Asian,Nonresident Alien
University of North Texas,363958,White,Hispanic/Latino,Black or African American
University of Utah,282174,White,Hispanic/Latino,Asian
Florida International University,462072,Hispanic/Latino,Black or African American,White
Loyola Marymount University,80594,White,Hispanic/Latino,Nonresident Alien
Fort Lewis College,30970,White,American Indian or Alaska Native,Hispanic/Latino
Leech Lake Tribal College,1534,American Indian or Alaska Native,Two or More Races,White
Rutgers University-New Brunswick,404036,White,Asian,Hispanic/Latino
Drexel University,167274,White,Asian,Nonresident Alien
University of Connecticut,212912,White,Hispanic/Latino,Asian
Grinnell College,16516,White,Nonresident Alien,Hispanic/Latino
University of Denver,87906,White,Hispanic/Latino,Two or More Races
New York University,399554,Nonresident Alien,White,Asian
Bowdoin College,18110,White,Hispanic/Latino,Asian
University of Louisville,169336,White,Black or African American,Hispanic/Latino
Bard College,23220,White,Nonresident Alien,Hispanic/Latino
Simmons University,32770,White,Race/Ethnicity Unknown,Hispanic/Latino
University of Kentucky,247996,White,Black or African American,Hispanic/Latino
DePauw University,16370,White,Nonresident Alien,Hispanic/Latino
Sweet Briar College,4250,White,Nonresident Alien,Black or African American
Illinois State University,182952,White,Hispanic/Latino,Black or African American
University of Wisconsin-Madison,391916,White,Nonresident Alien,Asian
Wellesley College,22922,White,Asian,Hispanic/Latino
Vanderbilt University,94480,White,Asian,Nonresident Alien
Baylor College of Medicine,6440,White,Asian,Nonresident Alien
South Dakota State University,95268,White,Nonresident Alien,Hispanic/Latino
American University,98532,White,Hispanic/Latino,Nonresident Alien
Johns Hopkins University,156948,White,Nonresident Alien,Asian
University of Nebraska-Lincoln,200706,White,Hispanic/Latino,Nonresident Alien
